종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 C 202008 160.0,"107.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 162.5,"105.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 165.0,"102.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 167.5,"100.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 170.0,"97.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 172.5,"95.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 175.0,"92.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 177.5,"90.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 180.0,"87.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 182.5,"85.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 185.0,"82.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 187.5,"80.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 190.0,"77.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 192.5,"75.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 195.0,"72.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 197.5,"70.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 200.0,"67.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 202.5,"65.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 205.0,"62.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 207.5,"60.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 210.0,"57.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 212.5,"55.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 215.0,"52.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 217.5,"50.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 220.0,"47.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 222.5,"45.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 225.0,"42.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 227.5,"40.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 230.0,"38.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 232.5,"35.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 235.0,"33.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 237.5,"30.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 240.0,"29.50",0.85,"29.50","29.50","29.50","1","1",1
코스피200 C 202008 242.5,"26.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 245.0,"24.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 247.5,"22.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 250.0,"20.15",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202008 252.5,"18.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 255.0,"17.50",1.15,"17.60","17.60","17.50","3","9",1
코스피200 C 202008 257.5,"14.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 260.0,"13.00",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202008 262.5,"11.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 265.0,"10.05",0.00,"0.00","0.00","0.00","0","7",0
코스피200 C 202008 267.5,"8.82",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 270.0,"8.88",1.29,"8.88","8.88","8.88","1","3",1
코스피200 C 202008 272.5,"6.58",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 275.0,"5.63",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 277.5,"4.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 280.0,"4.06",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202008 282.5,"3.36",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202008 285.0,"2.00",0.86,"2.00","2.00","2.00","1","29",2
코스피200 C 202008 287.5,"2.60",0.28,"2.65","2.65","2.60","2","26",2
코스피200 C 202008 290.0,"1.50",0.00,"0.00","0.00","0.00","0","43",0
코스피200 C 202008 292.5,"1.18",0.00,"0.00","0.00","0.00","0","9",0
코스피200 C 202008 295.0,"0.97",0.00,"0.00","0.00","0.00","0","16",0
코스피200 C 202008 297.5,"0.99",0.13,"0.86","0.99","0.86","7","43",1
코스피200 C 202008 300.0,"0.85",0.00,"0.00","0.00","0.00","0","14",0
코스피200 C 202008 302.5,"0.64",0.02,"0.66","0.66","0.64","2","4",1
코스피200 C 202008 305.0,"0.48",0.00,"0.00","0.00","0.00","0","14",0
코스피200 C 202008 307.5,"0.36",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202008 310.0,"0.37",0.00,"0.00","0.00","0.00","0","9",0
코스피200 C 202008 312.5,"0.23",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 315.0,"0.20",0.01,"0.20","0.20","0.20","11","165",2
코스피200 C 202008 317.5,"0.18",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 320.0,"0.16",0.00,"0.00","0.00","0.00","0","7",0
코스피200 C 202008 322.5,"0.14",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 325.0,"0.13",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202008 327.5,"0.12",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 330.0,"0.11",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202008 332.5,"0.10",0.00,"0.00","0.00","0.00","0","2",0
코스피200 C 202008 335.0,"0.09",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202008 337.5,"0.08",0.00,"0.00","0.00","0.00","0","1",0
코스피200 C 202008 340.0,"0.06",0.00,"0.00","0.00","0.00","0","3",0
코스피200 C 202008 342.5,"0.04",0.00,"0.04","0.04","0.04","3","299",3
코스피200 C 202009 160.0,"107.50",0.00,"0.00","0.00","0.00","0","72",0
코스피200 C 202009 162.5,"105.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 165.0,"102.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 167.5,"100.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 170.0,"97.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 172.5,"95.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 175.0,"92.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 177.5,"90.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 180.0,"87.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 182.5,"85.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 185.0,"83.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 187.5,"80.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 190.0,"78.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 192.5,"75.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 195.0,"73.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 197.5,"70.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 200.0,"68.25",0.00,"0.00","0.00","0.00","0","1,000",0
코스피200 C 202009 202.5,"65.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 205.0,"63.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 207.5,"60.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 210.0,"58.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 C 202009 212.5,"56.15",0.00,"0.00","0.00","0.00","0","0",0
