종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202009 172.5,"0.52",0.00,"0.00","0.00","0.00","0","8",0
코스피200 P 202009 175.0,"0.56",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202009 177.5,"0.61",0.00,"0.00","0.00","0.00","0","21",0
코스피200 P 202009 180.0,"0.63",0.06,"0.64","0.64","0.61","12","1,673",2
코스피200 P 202009 182.5,"0.74",0.00,"0.00","0.00","0.00","0","181",0
코스피200 P 202009 185.0,"0.77",0.10,"0.77","0.77","0.77","1","29",2
코스피200 P 202009 187.5,"0.88",0.00,"0.00","0.00","0.00","0","206",0
코스피200 P 202009 190.0,"0.91",0.04,"0.85","0.91","0.85","3","1,854",2
코스피200 P 202009 192.5,"0.99",0.12,"0.99","0.99","0.99","1","65",2
코스피200 P 202009 195.0,"1.04",0.13,"1.04","1.04","1.04","1","112",2
코스피200 P 202009 197.5,"1.13",0.21,"1.10","1.18","1.10","49","304",2
코스피200 P 202009 200.0,"1.21",0.25,"1.23","1.23","1.21","2","2,291",2
코스피200 P 202009 202.5,"1.48",0.00,"0.00","0.00","0.00","0","54",0
코스피200 P 202009 205.0,"1.51",0.08,"1.46","1.51","1.45","6","1,796",2
코스피200 P 202009 207.5,"1.71",0.00,"0.00","0.00","0.00","0","13",0
코스피200 P 202009 210.0,"1.70",0.20,"1.70","1.70","1.70","13","1,196",2
코스피200 P 202009 212.5,"2.15",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202009 215.0,"2.01",0.25,"2.01","2.01","2.01","1","212",2
코스피200 P 202009 217.5,"2.49",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 220.0,"2.45",0.28,"2.45","2.45","2.45","1","7,292",2
코스피200 P 202009 222.5,"2.91",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 225.0,"2.94",0.24,"3.04","3.04","2.94","2","1,029",2
코스피200 P 202009 227.5,"3.51",0.00,"0.00","0.00","0.00","0","7",0
코스피200 P 202009 230.0,"3.55",0.35,"3.49","3.55","3.49","2","2,847",2
코스피200 P 202009 232.5,"4.18",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 235.0,"4.53",0.00,"0.00","0.00","0.00","0","2,202",0
코스피200 P 202009 237.5,"4.97",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 240.0,"5.51",0.00,"0.00","0.00","0.00","0","11,205",0
코스피200 P 202009 242.5,"6.04",0.00,"0.00","0.00","0.00","0","200",0
코스피200 P 202009 245.0,"6.57",0.00,"0.00","0.00","0.00","0","3,984",0
코스피200 P 202009 247.5,"7.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 250.0,"7.36",0.77,"7.41","7.41","7.36","16","8,669",2
코스피200 P 202009 252.5,"8.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 255.0,"9.46",0.00,"0.00","0.00","0.00","0","2,678",0
코스피200 P 202009 257.5,"10.25",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202009 260.0,"10.45",1.25,"10.70","10.70","10.35","24","5,665",2
코스피200 P 202009 262.5,"12.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 265.0,"13.90",0.00,"0.00","0.00","0.00","0","1,459",0
코스피200 P 202009 267.5,"14.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 270.0,"16.40",0.00,"0.00","0.00","0.00","0","3,904",0
코스피200 P 202009 272.5,"17.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 275.0,"19.50",0.00,"0.00","0.00","0.00","0","1,736",0
코스피200 P 202009 277.5,"21.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 280.0,"23.10",0.00,"0.00","0.00","0.00","0","2,391",0
코스피200 P 202009 282.5,"24.90",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 285.0,"26.75",0.00,"0.00","0.00","0.00","0","1,308",0
코스피200 P 202009 287.5,"28.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 290.0,"30.80",0.00,"0.00","0.00","0.00","0","1,651",0
코스피200 P 202009 292.5,"32.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 295.0,"34.90",0.00,"0.00","0.00","0.00","0","404",0
코스피200 P 202009 297.5,"37.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 300.0,"39.30",0.00,"0.00","0.00","0.00","0","1,251",0
코스피200 P 202009 302.5,"41.45",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 305.0,"43.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 307.5,"46.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 310.0,"48.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 312.5,"50.65",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 315.0,"52.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 317.5,"55.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 320.0,"57.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 322.5,"60.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 325.0,"62.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 327.5,"64.95",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 330.0,"67.40",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 332.5,"69.85",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 335.0,"72.30",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 337.5,"74.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 340.0,"77.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 342.5,"79.70",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 345.0,"82.15",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 347.5,"84.60",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 350.0,"87.10",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 352.5,"89.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 355.0,"92.05",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 357.5,"94.55",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 360.0,"97.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 362.5,"99.50",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202009 365.0,"102.00",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 202.5,"2.06",0.00,"0.00","0.00","0.00","0","10",0
코스피200 P 202010 205.0,"2.27",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 207.5,"2.47",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 210.0,"2.68",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 212.5,"2.94",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 215.0,"3.24",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 217.5,"3.46",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202010 220.0,"3.82",0.00,"0.00","0.00","0.00","0","0",0
