종목,현재가,대비,시가,고가,저가,거래량,미결제,등락
코스피200 P 202007 337.5,"69.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 340.0,"72.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 342.5,"74.75",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202007 345.0,"77.25",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 160.0,"0.21",0.02,"0.21","0.25","0.20","91","1,153",1
코스피200 P 202008 162.5,"0.20",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 165.0,"0.21",0.00,"0.00","0.00","0.00","0","2",0
코스피200 P 202008 167.5,"0.23",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 170.0,"0.26",0.00,"0.00","0.00","0.00","0","5",0
코스피200 P 202008 172.5,"0.29",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 175.0,"0.32",0.00,"0.00","0.00","0.00","0","10",0
코스피200 P 202008 177.5,"0.35",0.00,"0.00","0.00","0.00","0","7",0
코스피200 P 202008 180.0,"0.43",0.02,"0.43","0.43","0.43","2","60",1
코스피200 P 202008 182.5,"0.41",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 185.0,"0.44",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 187.5,"0.47",0.00,"0.00","0.00","0.00","0","16",0
코스피200 P 202008 190.0,"0.59",0.03,"0.65","0.65","0.57","6","30",2
코스피200 P 202008 192.5,"0.62",0.05,"0.62","0.62","0.62","1","1",1
코스피200 P 202008 195.0,"0.68",0.06,"0.73","0.73","0.67","6","15",1
코스피200 P 202008 197.5,"0.68",0.00,"0.00","0.00","0.00","0","3",0
코스피200 P 202008 200.0,"0.73",0.00,"0.00","0.00","0.00","0","55",0
코스피200 P 202008 202.5,"0.77",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 205.0,"0.82",0.00,"0.00","0.00","0.00","0","68",0
코스피200 P 202008 207.5,"1.08",0.20,"1.08","1.08","1.08","1","7",1
코스피200 P 202008 210.0,"1.16",0.09,"1.16","1.16","1.16","1","94",1
코스피200 P 202008 212.5,"1.13",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 215.0,"1.50",0.20,"1.50","1.50","1.50","1","47",1
코스피200 P 202008 217.5,"1.35",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 220.0,"1.66",0.04,"1.66","1.66","1.66","2","197",2
코스피200 P 202008 222.5,"1.59",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 225.0,"1.80",0.00,"0.00","0.00","0.00","0","0",0
코스피200 P 202008 227.5,"2.00",0.00,"0.00","0.00","0.00","0","87",0
코스피200 P 202008 230.0,"2.58",0.38,"2.58","2.58","2.58","1","11",1
코스피200 P 202008 232.5,"2.60",0.20,"2.60","2.60","2.60","1","2",1
코스피200 P 202008 235.0,"2.98",0.38,"2.98","2.98","2.98","1","1",1
코스피200 P 202008 237.5,"2.93",0.00,"0.00","0.00","0.00","0","1",0
코스피200 P 202008 240.0,"3.65",0.74,"3.65","3.65","3.65","1","6",1
